ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010060967;"Un Temple en ruine";"Demachy, Pierre-Antoine ; France";1758;"INV 6409; MR 1453";"Département des Peintures";;"non exposé";
cl010060972;"Deux chiens et un lapin.";"Desportes, Nicolas ; France";1757;"INV 4066; B 1183";"Département des Peintures";;"non exposé";
cl010060973;"Oiseaux exotiques.";"Desportes, Alexandre-François ; France";1734;"INV 8898; B 1186";"Département des Peintures";;"non exposé";
cl010060974;"Gibier, fruits, chat et perroquet, dit aussi Gibier, animaux et fruits.";"Desportes, Claude-Francois ; France";1723;"INV 4064; MR 1470";"Département des Peintures";;"Paris (France), Hôtel de la Marine";
cl010060981;"Héliodore chasse du temple";"Glaize, Auguste-Barthélémy ; France";1845;"INV 20544";"Département des Peintures";;"non exposé";
cl010060982;"Vue prise dans les Alpes françaises, au lieu dit Le Bout-du-Monde, dans le ravin d'Allevard; chasseurs de chamois à l'affût.";"Giroux, André ; France";1837;"RF 3926";"Département des Peintures";;"non exposé";
cl010060983;"Percheron dans un pâturage.";"Giroux, Achille ; France";"1840 / 1860  (Milieu du XIXe siècle)";"INV 20405";"Département des Peintures";;"non exposé";
cl010060985;"Paysage pastoral.";"Domenchin de Chavanne, Pierre-Salomon ; France";"1700 / 1750  (1e moitié du XVIIIe siècle)";"INV 3232; MR 1333";"Département des Peintures";;"non exposé";
cl010060988;"Bataille entre les Romains et les Carthaginois";"Dieu, Antoine ; France";1722;"INV 6719; MR 1990";"Département des Peintures";;"non exposé";
cl010060990;"Puget présentant sa statue de Milon de Crotone à Louis XIV, dans les jardins de Versailles";"Devéria, Eugène ; France";1832;"INV 4074; C 381";"Département des Peintures";;"Sully, [AGER] Salle 657 - Galerie Campana C";
cl010060991;"Nature morte à l'aiguière.";"Desportes, Alexandre-François ; France";1734;"INV 3947; B 565";"Département des Peintures";;"Paris (France), Hôtel de la Marine";
cl010060992;"L'Eléphant, ou Le Cheval isabelle.";"Desportes, Alexandre-François ; France";1741;"INV 3895; MR 1503";"Département des Peintures";;"non exposé";
cl010060993;"Volaille, gibier, légumes et fruits dans une cuisine.";"Desportes, Alexandre-François ; France";1707;"INV 3940; MR 1474";"Département des Peintures";;"non exposé";
cl010060994;"Gibier, fleurs, fruits et un chien.";"Desportes, Alexandre-François ; France";1712;"INV 3938; MR 1469";"Département des Peintures";;"Sully, [OArt] Salle 604 - De Louis XIV à Louis XVI - Charles Cressent";
cl010060995;"Charles-Philippe de France, comte d'Artois, futur Charles X (1757-1836), et sa soeur Madame Clotilde, future reine de Sardaigne ( 1759-1802).";"Drouais, François Hubert ; France";1763;"INV 4114; MR 1537";"Département des Peintures";;"Sully, [OArt] Salle 626 - David, Pierre et Michel David-Weill";
cl010060996;"Paysage avec une chapelle en ruines";"Geré, Alexandre ; France";1827;"INV 20391";"Département des Peintures";;"non exposé";
cl010060997;"Charles X (1757-1836), roi de France";"Gérard, François ; France";"1825 / 1850  (2e quart du XIXe siècle)";"INV 4873; C 402";"Département des Peintures";;"non exposé";
cl010060998;"Portrait en buste de Charles X ( 1757-1836)";"Gérard, François ; France";"1800 / 1825  (1e quart du XIXe siècle)";"INV 20456";"Département des Peintures";;"non exposé";
cl010060999;"La Tempérance";"Dorigny, Michel ; France";"1659 / 1661  (2e moitié du XVIIe siècle)";"INV 20360; L41.575; R 249";"Département des Peintures";;"non exposé";
cl010061000;L'Europe;"Dorigny, Michel ; France";"1659 / 1661  (2e moitié du XVIIe siècle)";"INV 20353";"Département des Peintures";;"Sully, [AE] Salle 640 - Le Nouvel Empire - Toutankhamon et ses successeurs, Plafonds";
cl010061001;"La Force et la Prudence";"Dorigny, Michel ; France";"1659 / 1661  (3e quart du XVIIe siècle)";"INV 20359; L41.574; R 250";"Département des Peintures";;"non exposé";
cl010061002;L'Afrique;"Dorigny, Michel ; France";"1659 / 1661  (2e quart du XVIIe siècle)";"INV 20355";"Département des Peintures";;"Sully, [AE] Salle 640 - Le Nouvel Empire - Toutankhamon et ses successeurs, Plafonds";
cl010061003;"Génies tenant les armes d'Anne d'Autriche";"Dorigny, Michel ; France";"1659 / 1661  (Milieu du XVIIe siècle)";"INV 20357";"Département des Peintures";;"Sully, [AE] Salle 640 - Le Nouvel Empire - Toutankhamon et ses successeurs, Plafonds";
cl010061004;L'Asie;"Dorigny, Michel ; France";"1659 / 1661  (2e moitié du XVIIe siècle)";"INV 20354";"Département des Peintures";;"Sully, [AE] Salle 640 - Le Nouvel Empire - Toutankhamon et ses successeurs, Plafonds";
cl010061005;"Génies tenant les armes d'Anne d'Autriche";"Dorigny, Michel ; France";"1659 / 1661  (3e quart du XVIIe siècle)";"INV 20358";"Département des Peintures";;"Sully, [AE] Salle 640 - Le Nouvel Empire - Toutankhamon et ses successeurs, Plafonds";
cl010061006;"Christophe-Gabriel Allegrain (1710-1795), sculpteur;près de lui, ""Diane surprise au bain par Actéon"" (marbre de 1768; au Louvre)";"Duplessis, Joseph Siffred ; France";1774;"INV 4305; MR 1564";"Département des Peintures";;"non exposé";
cl010061007;"Joseph-Marie Vien (1716-1809), peintre.";"Duplessis, Joseph Siffred ; France";1785;"INV 4306; MR 1565";"Département des Peintures";;"non exposé";
cl010061008;"La Générosité.";"Dumont, Jacques ; France";1749;"INV 4284; MR 1560";"Département des Peintures";;"Sully, [OArt] Salle 629 - René Grog et Marie-Louise Grog-Carven";
cl010061009;"Séparation de saint Pierre et de saint Paul allant au martyre";"Dumas, Michel ; France";1852;"INV 20060";"Département des Peintures";;"non exposé";
cl010061010;"Paysage avec trois bergers et un troupeau de moutons";"Dughet, Gaspard ; France";"vers 1670";"INV 1060; MR 232";"Département des Peintures";;"non exposé";
cl010061014;"Dicé offrant un banquet à Francus, en présence de Hyante et de Climène (Ronsard, La Franciade, second livre.";"Dubreuil, Toussaint ; Le Sueur, Eustache ; France Fontainebleau";"1600 / 1625  (1e quart du XVIIe siècle)";"INV 862; B 176; L41.592; R 244";"Département des Peintures";;"Richelieu, [Peint] Salle 824 - Seconde École de Fontainebleau";
cl010061015;"Hyante et Climène offrant un sacrifice à Vénus;";"Dubreuil, Toussaint ; Le Sueur, Eustache ; France Fontainebleau";"1600 / 1625  (1e quart du XVIIe siècle)";"INV 4157; B 1347";"Département des Peintures";;"Richelieu, [Peint] Salle 824 - Seconde École de Fontainebleau";
cl010061016;"La Félicité";"Dubois, Jean ; France";1642;"INV 6694; B 821; L41.612";"Département des Peintures";;"Sully, [AE] Salle 640 - Le Nouvel Empire - Toutankhamon et ses successeurs";
cl010061017;"Edme Bouchardon ( 1698-1762), sculpteur; près de lui un modèle de ""L'Amour taillant son arc"" (marbre de 1750; au Louvre) et de la statue équestre de Louis XV (bronze de 1758; détruit).";"Drouais, François Hubert ; France";1758;"INV 4108; MR 1535";"Département des Peintures";;"non exposé";
cl010061018;"Le débarquement de Cléopâtre à Tarse";"Gellée, Claude ; France";"1642 / 1643  (2e quart du XVIIe siècle)";"INV 4716; MR 1738";"Département des Peintures";;"Richelieu, [Peint] Salle 826 - Nicolas Poussin (1594-1665) : entre Rome et Paris";
cl010061019;"Siège de la Rochelle par Louis XIII";"Gellée, Claude ; France";"1630 / 1635  (2e quart du XVIIe siècle)";"INV 4726; MR 1735";"Département des Peintures";;"Richelieu, [Peint] Salle 827 - Claude Gellée, dit le Lorrain (1600-1682) et le paysage classique";
cl010061020;"La Fête villageoise";"Gellée, Claude ; France";1639;"INV 4714; MR 1739";"Département des Peintures";;"Richelieu, [Peint] Salle 827 - Claude Gellée, dit le Lorrain (1600-1682) et le paysage classique";
